calID,spnumber,taxstat,family,species,star,horim_page,horim_end,star_geo,star_geod,star_geou,star_infa,star_infs,quartergrid,1grid,horimgrid,mgr_ocan,mgr_mainisl,mgr_smallisl,mgr_totalland,mgr_totalarea,qgr_mainisl,qgr_smallisl,qgr_totalland,1gr_mainisl,1gr_smallisl,1gr_totalland,infra
28690,28690,acc,Orchidaceae,Ponerorchis kurokamiana (Hatus. & Ohwi) J.M.H.Shaw,BK,862,endemic,BK,BK,BK,BK,BK,1,1,1,10.80700086,419.7085283,0.03227376,419.7408021,430.5478029,1408.021624,164.7682547,1572.789878,1451.211799,556.5047712,2007.71657,
28883,28883,acc,Orchidaceae,Arundina graminifolia (D. Don) Hochr.,GN,440,,GN,GN,GN,GN,GN,1,1,3,1133.897618,0,270.6317914,270.6317914,1404.529409,0,319.3422276,319.3422276,0,330.0325795,330.0325795,
29395,29395,acc,Gramineae,Arundo donax L.,GN,406,,GN,GN,GN,GN,GN,108,49,299,78292.29328,43279.71591,8539.667175,51819.38308,130111.6764,89107.14699,9036.554958,98143.70195,122869.9603,9232.362925,132102.3232,
29511,29511,acc,Gramineae,Imperata cylindrica (L.) Raeusch.,GN,408,,GN,GN,GN,GN,GN,226,83,844,120907.6252,226017.4615,10411.00391,236428.4654,357336.0906,285573.9016,10954.55479,296528.4564,292656.2853,11466.52819,304122.8135,
29526,29526,acc,Gramineae,Leymus mollis (Trin.) Pilger,GN/,407,,GN,GN,BU,GN,GN,98,46,184,37726.82148,33148.15499,1049.657067,34197.81206,71924.63354,105811.7447,1212.896271,107024.641,180869.6412,1636.064338,182505.7055,
29531,29531,acc,Gramineae,Lophatherum gracile Brongn.,GN,409,,GN,GN,GN,GN,GN,129,55,308,50283.46961,75971.40249,6767.10826,82738.51075,133021.9804,158640.2791,9535.45707,168175.7362,178649.6032,10081.8907,188731.4939,
29539,29539,acc,Gramineae,Miscanthus floridulus (Labill.) Warb. ex K. Schum. & Lauterb.,GN/,410,,GN,GN,BU,GN,GN,67,32,219,42938.69766,46326.42293,4857.791387,51184.21432,94122.91198,85264.39526,5602.866112,90867.26137,127364.8975,7386.230677,134751.1282,
29557,29557,acc,Gramineae,Panicum repens L.,GN,412,,GN,GN,GN,GN,GN,43,24,95,31586.8078,6156.843745,4979.909945,11136.75369,42723.56149,17449.79913,5669.629419,23119.42855,35190.20528,6170.63689,41360.84217,
29565,29565,acc,Gramineae,Pennisetum alopecuroides (L.) Spreng.,GN/,413,,GN,GN,BU,GN,GN,192,69,637,76780.48872,184261.4618,6850.557946,191112.0197,267892.5084,274364.0428,8322.216643,282686.2594,285921.2905,8897.793547,294819.0841,
29604,29604,acc,Gramineae,Pogonatherum crinitum (Thunb.) Kunth,?,414,,?,?,?,?,?,81,37,213,52051.49171,34978.91907,6451.607356,41430.52642,93482.01813,66315.32381,7486.130158,73801.45397,88900.50199,8344.01389,97244.51588,
29610,29610,acc,Gramineae,Pseudosasa owatarii (Makino) Makino,GN/,852,,GN,GN,BU,GN,GN,2,1,3,918.0795022,0,413.7967984,413.7967984,1331.876301,0,693.0742327,693.0742327,0.769177333,838.2893969,839.0585742,
29681,29681,acc,Gramineae,Spinifex littoreus (Burm.f.) Merrill,GN/,415,,GN,GN,BU,GN,GN,19,13,36,14410.27493,0,2121.439968,2121.439968,16531.7149,0,2699.438599,2699.438599,0.769177333,4054.864819,4055.633996,
29703,29703,acc,Gramineae,Zoysia matrella (L.) Merrill,GN,417,,GN,GN,GN,GN,GN,45,26,77,30788.69322,356.0005827,3825.706166,4181.706748,34970.39996,3638.81359,6264.910997,9903.724587,16922.6214,6900.01555,23822.63695,
29754,29754,acc,Gramineae,Oryzopsis obtusa Stapf ex Oliver,BK/,411,endemic,BK,GD,BK,BK,BK,1,1,1,446.6363849,0,11.8357252,11.8357252,458.4721101,0,485.3153541,485.3153541,0,486.3943649,486.3943649,
29774,29774,acc,Gramineae,Thuarea involuta (G. Forst.) R. Br. ex Smith,GN,416,,GN,GN,GN,GN,GN,29,18,59,24330.09195,0,2822.018403,2822.018403,27152.11035,0,3071.434407,3071.434407,0,3657.098048,3657.098048,
29794,29794,acc,Smilacaceae,Smilax china L.,GN,436,,GN,GN,GN,GN,GN,197,67,774,96223.84626,222520.1636,6674.546626,229194.7103,325418.5565,276989.3745,7619.875305,284609.2498,286290.9758,7710.517003,294001.4928,
29824,29824,acc,Clethraceae,Clethra barbinervis Sieb. & Zucc.,GN,264,,GN,GN,GN,GN,GN,175,60,646,50213.86835,216003.2141,4720.695577,220723.9097,270937.778,272506.4511,6833.367334,279339.8185,280589.7165,7401.306739,287991.0233,
29829,29829,acc,Convallariaceae,Disporum smilacinum A. Gray,GN,431,,GN,GN,GN,GN,GN,171,69,453,25205.23988,160025.6355,1692.886364,161718.5219,186923.7618,288310.6509,5035.977625,293346.6285,340024.8089,6901.222974,346926.0319,
29844,29844,acc,Primulaceae,Lysimachia clethroides Duby,GN,303,,GN,GN,GN,GN,GN,190,66,615,52484.97567,199604.5898,3499.037297,203103.6271,255588.6028,297228.3306,5906.920109,303135.2507,324396.0539,6525.436085,330921.49,
