"species","spnumber","star","pref"
"Quercus glauca Thunb.",9738,"GN","Nara"
"Viburnum furcatum Bl. ex Maxim.",5214,"GN","Nara"
"Viburnum furcatum Bl. ex Maxim.",5214,"GN","Wakayama"
"Woodwardia orientalis Sw.",3537,"GN","Nara"
"Hedera rhombea (Miq.) Bean",5740,"GN","Nara"
"Miricacalia palmata (Thunb.) Maxim.",4132,"GN","Nara"
"Miricacalia palmata (Thunb.) Maxim.",4132,"GN","Wakayama"
"Plantago asiatica L.",5144,"GN","Nara"
"Lindera erythrocarpa Makino",10278,"GN","Nara"
"Rubus phoenicolasius Maxim.",11434,"GN","Nara"
"Rubus phoenicolasius Maxim.",11434,"GN","Wakayama"
"Caesalpinia decapetala (Roth) Alston",11581,"GN","Nara"
"Caesalpinia decapetala (Roth) Alston",11581,"GN","Wakayama"
"Parthenocissus tricuspidata (Sieb. et Zucc.) Planch.",5488,"GN","Nara"
"Parnassia palustris L.",11056,"GN","Nara"
"Quercus acuta Thunb.",9734,"GN","Nara"
"Carpinus laxiflora (Siebold et Zucc.) Blume",9713,"GN","Nara"
"Carpinus laxiflora (Siebold et Zucc.) Blume",9713,"GN","Wakayama"
"Laportea bulbifera (Siebold et Zucc.) Wedd.",9810,"GN","Nara"
"Laportea bulbifera (Siebold et Zucc.) Wedd.",9810,"GN","Wakayama"
"Akebia trifoliata (Thunb.) Koidz.",10580,"GN","Nara"
"Silene miqueliana (Rohrb.) H.Ohashi et H.Nakai",10151,"BU","Nara"
"Silene miqueliana (Rohrb.) H.Ohashi et H.Nakai",10151,"BU","Wakayama"
"Oenanthe javanica (Blume) DC.",3235,"GN","Nara"
"Mimulus nepalensis Benth.",5050,"GN","Nara"
"Mimulus nepalensis Benth.",5050,"GN","Wakayama"
"Macleaya cordata (Willd.) R. Br.",10805,"GN","Nara"
"Macleaya cordata (Willd.) R. Br.",10805,"GN","Wakayama"
"Metaplexis japonica (Thunb.) Makino",4699,"GN","Nara"
"Metaplexis japonica (Thunb.) Makino",4699,"GN","Wakayama"
"Hydrangea petiolaris Siebold et Zucc.",11203,"GN","Nara"
"Hydrangea petiolaris Siebold et Zucc.",11203,"GN","Wakayama"
"Sciadopitys verticillata (Thunb.) Sieb. et Zucc.",3966,"GD","Nara"
"Sciadopitys verticillata (Thunb.) Sieb. et Zucc.",3966,"GD","Wakayama"
"Fagus crenata Blume",9718,"BU","Nara"
"Fagus crenata Blume",9718,"BU","Wakayama"
"Ilex macropoda Miq.",5429,"GN","Nara"
"Ilex macropoda Miq.",5429,"GN","Wakayama"
"Picea jezoensis Carri{e`}re var. hondoensis Mayr",79,"BU","Nara"
"Youngia japonica (L.) DC.",4062,"GN","Nara"
"Acer ukurunduense Trautv. et C. A. Mey.",5387,"GN","Nara"
"Rodgersia podophylla A. Gray",11066,"GN","Nara"
"Vaccinium vitis-idaea L.",4505,"GN","Nara"
"Phellodendron amurense Rupr.",3178,"GN","Nara"
"Diphylleia grayi F. Schmidt",10577,"GN","Nara"
"Epigaea asiatica Maxim.",4418,"BU","Nara"
"Ilex rugosa F. Schmidt",5424,"GN","Nara"
"Polystichum tripteron (Kunze) C. Presl",3556,"GN","Nara"
"Arcterica nana (Maxim.) Makino",4494,"GN","Nara"
"Chamaepericlymenum canadense (L.) Asch. et Graebn.",5737,"GN","Nara"
"Cimicifuga simplex (DC.) Turcz",10328,"GN","Nara"
"Acer argutum Maxim.",5378,"BU","Nara"
"Magnolia sieboldii K. Koch subsp. japonica K.Ueda",10249,"GN","Nara"
"Shortia uniflora (Maxim.) Maxim.",4407,"GD","Nara"
"Thalictrum minus L. var. hypoleucum (Siebold et Zucc.) Miq.",10543,"GN","Nara"
"Leucothoe grayana Maxim.",4488,"BU","Nara"
"Aruncus dioicus (Walter) Fernaid var. kamtschaticus (Maxim.) H. Hara",11247,"GN","Nara"
"Acer diabolicum Blume ex K. Koch",5396,"BU","Nara"
"Morus australis Poir. in Lam.",9799,"GN","Nara"
"Meliosma tenuis Maxim.",5407,"GN","Nara"
"Cynanchum caudatum (Miq.) Maxim.",4720,"GN","Nara"
"Acer japonicum Thunb.",5389,"BU","Nara"
"Lespedeza buergeri Miq.",11745,"GN","Nara"
"Aria alnifolia (Siebold et Zucc.) Decne.",11297,"GN","Nara"
"Abies veitchii Lindl.",3138,"BU","Nara"
"Pterocarya rhoifolia Siebold et Zucc.",9576,"GN","Nara"
"Hylotelephium verticillatum (L.) H. Ohba var. verticillatum",10987,"GN","Nara"
"Trientalis europaea L.",4559,"GN","Nara"
"Elaeocarpus japonicus Sieb. et Zucc.",5494,"GN","Nara"
"Ostrya japonica Sarg.",9710,"GN","Nara"
"Kirengeshoma palmata Yatabe",11065,"GN","Nara"
"Oplopanax japonicus (Nakai) Nakai",5752,"BU","Nara"
"Tsuga diversifolia (Maxim.) Mast.",3973,"BU","Nara"
"Betula ermanii Cham. var. ermanii",9692,"GN","Nara"
"Clintonia udensis Trautv. & C.A.Mey.",25816,"GN","Nara"
"Picea polita (Sieb. et Zucc.) Carri{e`}re",3977,"BU","Nara"
"Acer pictum Thunb. subsp. mono Maxim.",648,"GN","Nara"
"Pourthiaea villosa (Thunb.) Decne. var. villosa",11300,"GN","Mie"
"Sanicula chinensis Bunge",5760,"GN","Mie"
"Elaeagnus umbellata Thunb.",3200,"GN","Mie"
"Hylodesmum podocarpum (DC.) H.Ohashi et R.R.Mill var. oxyphyllum (DC.) H.Ohashi et R.R.Mill",11743,"GN","Mie"
"Hylodesmum oldhamii (Oliv.) H.Ohashi et R.R.Mill",11735,"GN","Mie"
"Alnus serrulatoides Callier",9674,"GD","Mie"
"Orixa japonica Thunb.",5337,"GN","Mie"
"Rodgersia podophylla A. Gray",11066,"GN","Mie"
"Ainsliaea apiculata Sch.-Bip.",3160,"GN","Mie"
"Aralia cordata Thunb.",3227,"GN","Mie"
"Diphylleia grayi F. Schmidt",10577,"GN","Mie"
"Panax pseudoginseng Wall. var. japonicus",752,"GN","Mie"
"Acer micranthum Sieb. et Zucc.",5384,"BU","Mie"
"Celastrus orbiculatus Thunb.",3188,"GN","Mie"
"Kadsura japonica (L.) Dunal",10258,"BU","Mie"
"Acer diabolicum Blume ex K. Koch",5396,"BU","Mie"
"Houttuynia cordata Thunb.",10614,"GN","Mie"
"Uncaria rhynchophylla (Miq.) Miq.",4784,"GN","Mie"
"Uncaria rhynchophylla (Miq.) Miq.",4784,"GN","Nara"
"Eleutherococcus sciadophylloides (Franch. et Sav.) H. Ohashi",5746,"GN","Mie"
"Picea jezoensis Carri{e`}re var. hondoensis Mayr",79,"BU","Mie"
"Camellia japonica L.",10714,"GN","Mie"
"Symplocos prunifolia Sieb. et Zucc.",4604,"GN","Mie"
"Castanopsis cuspidata (Thunb.) Schotlky",9755,"GN","Mie"
"Schizophragma hydrangeoides Siebold et Zucc.",11199,"GN","Mie"
"Phyllanthus flexuosus (Sieb. et Zucc.) M{uu}ll. Arg.",5271,"GN","Mie"
"Lysimachia japonica Thunb.",4553,"GN","Mie"
"Euonymus alatus (Thunb.) Sieb.",3186,"GN","Mie"
"Rosa multiflora Thunb. var. multiflora",11464,"GN","Mie"
"Impatiens textorii Miq.",5408,"GN","Mie"
"Pueraria lobata (Willd.) Ohwi",11792,"GN","Mie"
"Paederia foetida L.",4835,"GN","Mie"
"Phellodendron amurense Rupr.",3178,"GN","Mie"
"Rhododendron keiskei Miq.",4429,"BU","Mie"
"Gnaphalium japonicum Thunb.",4271,"GN","Mie"
"Gnaphalium japonicum Thunb.",4271,"GN","Nara"
"Styrax obassia Sieb. et Zucc.",4593,"GN","Mie"
"Smilax china L.",29794,"GN","Mie"
"Aria japonica Decne.",11298,"BU","Mie"
"Wisteria floribunda (Willd.) DC.",11647,"BU","Mie"
"Photinia glabra (Thunb.) Maxim.",11302,"GN","Mie"
"Photinia glabra (Thunb.) Maxim.",11302,"GN","Nara"
"Ficus nipponica Franch. et Sav.",9777,"GN","Mie"
"Philadelphus satsumi Siebold ex Lindl. et Paxton",11178,"BU","Mie"
"Osmanthus heterophyllus (G. Don) P. S. Green",4634,"BU","Mie"
"Stachyurus praecox Sieb. et Zucc.",3210,"GN","Mie"
"Meliosma rigida Sieb. et Zucc.",5404,"GN","Mie"
"Meliosma rigida Sieb. et Zucc.",5404,"GN","Nara"
"Euonymus fortunei (Turcz.) Hand.-Mazz. var. radicans Sieb. ex Miq.",662,"GN","Mie"
"Vitis coignetiae Pulliat ex Planch.",5484,"GN","Mie"
"Vitis coignetiae Pulliat ex Planch.",5484,"GN","Nara"
"Ilex rugosa F. Schmidt",5424,"GN","Mie"
"Viburnum erosum Thunb. ex Murray",5217,"GN","Mie"
"Polystichum tripteron (Kunze) C. Presl",3556,"GN","Mie"
"Styrax shiraianus Makino",4594,"GN","Mie"
"Rhus trichocarpa Miq.",5373,"GN","Mie"
"Blechnum niponicum (Kunze) Makino",3531,"GN","Mie"
"Aralia elata (Miq.) Seem.",5738,"GN","Mie"
"Lindera praecox (Siebold et Zucc.) Blume",10282,"BU","Mie"
"Mitchella undulata Sieb. et Zucc.",4830,"GN","Mie"
"Rubus buergeri Miq.",11408,"GN","Mie"
"Tsuga sieboldii Carri{e`}re",3972,"GN","Mie"
"Daphniphyllum teijsmanii Zoll. ex Kurz",5330,"BU","Mie"
"Daphniphyllum teijsmanii Zoll. ex Kurz",5330,"BU","Nara"
"Ilex pedunculosa Miq.",5413,"GN","Mie"
"Anodendron affine (Hook. et Arn.) Drude",4695,"GN","Mie"
"Anodendron affine (Hook. et Arn.) Drude",4695,"GN","Nara"
"Maesa japonica (Thunb.) Moritzi",4530,"GN","Mie"
"Magnolia sieboldii K. Koch subsp. japonica K.Ueda",10249,"GN","Mie"
"Celtis sinensis Pers.",9767,"GN","Mie"
"Ligustrum japonicum Thunb.",4636,"GN","Mie"
"Ligustrum japonicum Thunb.",4636,"GN","Nara"
"Litsea coreana H.Lev.",10295,"GN","Mie"
"Rhododendron semibarbatum Maxim.",4432,"GN","Mie"
"Lindera obtusiloba Blume",10281,"GN","Mie"
"Meliosma myriantha Sieb. et Zucc.",5406,"GN","Mie"
"Callicarpa mollis Sieb. et Zucc.",4901,"GN","Mie"
"Quercus phyllyreioides A. Gray",9720,"GN","Mie"
"Quercus phyllyreioides A. Gray",9720,"GN","Nara"
"Quercus serrata Murray",9727,"GN","Mie"
"Pieris japonica (Thunb.) D. Don ex G. Don",4489,"BU","Mie"
"Plagiogyria matsumureana Makino",3337,"GN","Mie"
"Parasenecio delphiniifolia (Sieb. et Zucc.) H. Koyama",4138,"GN","Mie"
"Osmunda japonica Thunb.",3329,"GN","Mie"
"Rhus javanica L.",5372,"GN","Mie"
"Litsea acuminata (Blume) Sa. Kurata",10293,"GN","Mie"
"Litsea acuminata (Blume) Sa. Kurata",10293,"GN","Nara"
"Aesculus turbinata Blume",5402,"GN","Mie"
"Zanthoxylum schinifolium Sieb. et Zucc.",5343,"GN","Mie"
"Rapanaea neriifolia (Sieb. et Zucc.) Mez",4539,"GN","Mie"
"Rapanaea neriifolia (Sieb. et Zucc.) Mez",4539,"GN","Nara"
"Acer argutum Maxim.",5378,"BU","Mie"
"Clethra barbinervis Sieb. & Zucc.",29824,"GN","Mie"
"Chamaecyparis obtusa (Sieb. et Zucc.) Endl.",3992,"BU","Mie"
"Ternstroemia gymnanthera (Wight et Arn.) Bedd.",10727,"GN","Mie"
"Ternstroemia gymnanthera (Wight et Arn.) Bedd.",10727,"GN","Nara"
"Acer pictum Thunb. subsp. mono Maxim.",648,"GN","Mie"
"Torreya nucifera (L.) Sieb. et Zucc.",4003,"GN","Mie"
"Daphniphyllum macropodum Miq.",3176,"GN","Mie"
"Daphniphyllum macropodum Miq.",3176,"GN","Nara"
"Morus australis Poir. in Lam.",9799,"GN","Mie"
"Chloranthus japonicus Siebold",10620,"GN","Mie"
"Magnolia kobus DC.",10251,"GN","Mie"
"Magnolia kobus DC.",10251,"GN","Nara"
"Juniperus rigida Sieb. et Zucc.",3997,"GN","Mie"
"Euptelea polyandra Siebold et Zucc.",10312,"BU","Mie"
"Rhamnus crenata Sieb. et Zucc.",5471,"GN","Mie"
"Rhamnus crenata Sieb. et Zucc.",5471,"GN","Nara"
"Akebia quinata (Houtt.) Decne.",10579,"GN","Mie"
"Clematis apiifolia DC.",10437,"GN","Mie"
"Cinnamomum yabunikkei H. Ohba",10274,"GN","Mie"
"Pseudotsuga japonica (Shiras.) Beissn.",3974,"BK","Mie"
"Adiantum pedatum L.",3447,"GN","Mie"
"Abies firma Sieb. et Zucc.",3968,"BU","Mie"
"Patrinia villosa (Thunb.) Juss.",5257,"GN","Mie"
"Albizia julibrissin Durazz.",11594,"GN","Mie"
"Ardisia pusilla A. DC.",4536,"GN","Mie"
"Rhus ambigua Lavall{e'}e ex Dippel",5371,"GN","Mie"
"Dendropanax trifidus (Thunb.) Makino ex H. Hara",5743,"GN","Mie"
"Dendropanax trifidus (Thunb.) Makino ex H. Hara",5743,"GN","Nara"
"Hydrangea involucrata Siebold var. involucrata",11206,"BU","Mie"
"Hydrangea involucrata Siebold var. involucrata",11206,"BU","Nara"
"Deutzia scabra Thunb. var. scabra",11195,"BU","Mie"
"Sorbus gracilis (Siebold et Zucc.) K. Koch",11296,"BU","Mie"
"Disporum smilacinum A. Gray",29829,"GN","Mie"
"Zanthoxylum ailanthoides Sieb. et Zucc.",3177,"GN","Mie"
"Eupatorium makinoi Kawahara et Yahara var. oppositifolium Koidz.",202,"GN","Mie"
"Lonicera japonica Thunb. ex Murray",5231,"GN","Mie"
"Euscaphis japonica (Thunb.) Kanitz",5455,"GN","Mie"
"Wisteria japonica Siebold et Zucc.",11645,"GN","Mie"
"Parthenocissus tricuspidata (Sieb. et Zucc.) Planch.",5488,"GN","Mie"
"Hydrangea hirta (Thunb.) Siebold",11219,"BU","Mie"
"Neolitsea sericea (Blume) Koidz. var. sericea",10306,"GN","Mie"
"Callicarpa japonica Thunb.",4907,"GN","Mie"
"Machilus thunbergii Siebold et Zucc. ex Meisn.",10300,"GN","Mie"
"Sapium japonicum (Sieb. et Zucc.) Pax et K. Hoffm.",5301,"GN","Mie"
"Cocculus trilobus (Thunb.) DC.",10592,"GN","Mie"
"Cryptotaenia japonica Hassk.",5765,"GN","Mie"
"Laurocerasus spinulosa (Siebold et Zucc.) C.K.Schneid.",11325,"BU","Mie"
"Laurocerasus spinulosa (Siebold et Zucc.) C.K.Schneid.",11325,"BU","Nara"
"Ampelopsis glandulosa (Wall.) Momiy. var. hancei",682,"GN","Mie"
"Mallotus japonicus (Thunb. ex L. f.) M{uu}ll. Arg.",5295,"GN","Mie"
"Gleichenia japonica Spreng.",3342,"GN","Mie"
"Swida macrophylla (Wall.) Soj{a'}rk",5733,"GN","Mie"
"Fallopia japonica (Houtt.) Ronse Decr. var. japonica",9949,"GN","Mie"
"Acer crataegifolium Sieb. et Zucc.",5383,"BU","Mie"
"Ardisia japonica (Thunb.) Bl.",4535,"GN","Mie"
"Padus grayana (Maxim.) C.K.Schneid.",11327,"GN","Mie"
"Stewartia monadelpha Siebold et Zucc.",10724,"BU","Mie"
"Acer rufinerve Sieb. et Zucc.",5379,"BU","Mie"
"Picrasma quassioides (D. Don) Benn.",5354,"GN","Mie"
"Styrax japonicus Sieb. et Zucc.",4592,"GN","Mie"
"Viburnum furcatum Bl. ex Maxim.",5214,"GN","Mie"
"Adenocaulon himalaicum Edgew.",4072,"GN","Mie"
"Boninia albiflora (Hook.) Meisn. var. japonica Nakai ex Makino et Nemoto",626,"GN","Mie"
"Kerria japonica (L.) DC.",11510,"GN","Mie"
"Hylotelephium verticillatum (L.) H. Ohba var. verticillatum",10987,"GN","Mie"
"Quercus acuta Thunb.",9734,"GN","Mie"
"Hydrangea paniculata Siebold",11209,"GN","Mie"
"Dicranopteris linearis (Burm. f.) Underw.",3341,"GN","Mie"
"Diospyros morrisiana Hance",4587,"GN","Mie"
"Diospyros morrisiana Hance",4587,"GN","Nara"
"Rubus parvifolius L.",11435,"GN","Mie"
"Castanea crenata Siebold et Zucc.",9752,"GN","Mie"
"Paraixeris denticulata (Houtt.) Nakai",4052,"GN","Mie"
"Illicium anisatum L.",10259,"BU","Mie"
"Vitis flexuosa Thunb.",3192,"GN","Mie"
"Carpinus tschonoskii Maxim.",9712,"GN","Mie"
"Pterocarya rhoifolia Siebold et Zucc.",9576,"GN","Mie"
"Lespedeza buergeri Miq.",11745,"GN","Mie"
"Stephania japonica (Thunb.) Miers",10584,"GN","Mie"
"Stephania japonica (Thunb.) Miers",10584,"GN","Nara"
"Elaeagnus glabra Thunb.",5554,"GN","Mie"
"Elaeagnus glabra Thunb.",5554,"GN","Nara"
"Magnolia hypoleuca Siebold et Zucc.",10247,"GN","Mie"
"Neolitsea aciculata (Blume) Koidz.",10302,"GN","Mie"
"Zelkova serrata (Thunb.) Makino",9762,"GN","Mie"
"Lindera erythrocarpa Makino",10278,"GN","Mie"
"Quercus sessilifolia Blume",9736,"GN","Mie"
"Quercus sessilifolia Blume",9736,"GN","Nara"
"Eurya japonica Thunb.",10738,"GN","Mie"
"Elaeagnus pungens Thunb.",5553,"GN","Mie"
"Thuja standishii (Gordon) Carri{e`}re",3991,"BU","Mie"
"Thuja standishii (Gordon) Carri{e`}re",3991,"BU","Nara"
"Carpinus laxiflora (Siebold et Zucc.) Blume",9713,"GN","Mie"
"Zabelia integrifolia (Koidz.) Makino ex Ikuse et Kurosawa",5230,"BU","Mie"
"Zabelia integrifolia (Koidz.) Makino ex Ikuse et Kurosawa",5230,"BU","Nara"
"Meliosma tenuis Maxim.",5407,"GN","Mie"
"Stauntonia hexaphylla (Thunb.) Decne.",10578,"GN","Mie"
"Stauntonia hexaphylla (Thunb.) Decne.",10578,"GN","Nara"
"Machilus japonica Siebold et Zucc. ex Meisn.",10298,"GN","Mie"
"Thujopsis dolabrata (L. f.) Sieb. et Zucc.",3990,"GD","Mie"
"Acer carpinifolium Sieb. et Zucc.",5397,"BU","Mie"
"Viburnum dilatatum Thunb. ex Murray",5219,"GN","Mie"
"Geranium nepalense Sweet",11856,"GN","Mie"
"Abies homolepis Sieb. et Zucc.",3967,"BU","Mie"
"Itea japonica Oliv.",11176,"BU","Mie"
"Ficus thunbergii Maxim.",9778,"GN","Mie"
"Ficus thunbergii Maxim.",9778,"GN","Nara"
"Lyonia ovalifolia (Wall.) Drude var. elliptica Sieb. et Zucc.",328,"GN","Mie"
"Dendranthema indicum (L.) Des Moul.",4248,"GN","Mie"
"Dendranthema indicum (L.) Des Moul.",4248,"GN","Nara"
"Swertia bimaculata (Sieb. et Zucc.) Hook. f. et Thoms. ex C. B. Clarke",4654,"GN","Mie"
"Fraxinus sieboldiana Bl.",4625,"GN","Mie"
"Ilex rotunda Thunb.",5414,"GN","Mie"
"Smilax sieboldii Miq.",30389,"GN","Mie"
"Quercus salicina Blume",9742,"GN","Mie"
"Acer japonicum Thunb.",5389,"BU","Mie"
"Actinidia arguta (Siebold et Zucc.) Planch. ex Miq. var. arguta",10709,"GN","Mie"
"Rhododendron macrosepalum Maxim.",4436,"BU","Mie"
"Leibnitzia anandria (L.) Turcz.",4392,"GN","Mie"
"Tsuga diversifolia (Maxim.) Mast.",3973,"BU","Mie"
"Abies veitchii Lindl.",3138,"BU","Mie"
"Cleyera japonica Thunb. var. japonica",10731,"GN","Mie"
"Persicaria thunbergii (Siebold et Zucc.) H.Gross var. thunbergii",9976,"GN","Mie"
"Sorbus commixta Hedl.",11291,"?","Mie"
"Vaccinium bracteatum Thunb.",4503,"GN","Mie"
"Rhododendron obtusum (Lindl.) Planch. var. kaempferi Planch.",290,"BU","Mie"
"Ilex integra Thunb.",5415,"GN","Mie"
"Ilex integra Thunb.",5415,"GN","Nara"
"Tripterospermum japonicum (Sieb. et Zucc.) Maxim.",4682,"GN","Mie"
"Picea polita (Sieb. et Zucc.) Carri{e`}re",3977,"BU","Mie"
"Hovenia dulcis Thunb.",5472,"GN","Mie"
"Cephalotaxus harringtonia (Knight ex Forbes) K. Koch",4002,"GN","Mie"
"Rubus microphyllus L.f.",11420,"GN","Mie"
"Diplazium subsinuatum (N. Wall. ex Hook. et Grev.) Tagawa",3863,"GN","Mie"
"Acer distylum Sieb. et Zucc.",5385,"BU","Mie"
"Acer distylum Sieb. et Zucc.",5385,"BU","Nara"
"Buddleja japonica Hemsl.",5027,"BU","Mie"
"Schisandra repanda (Siebold et Zucc.) Radlk.",10257,"GN","Mie"
"Deutzia crenata Siebold et Zucc. var. crenata",11185,"GN","Mie"
"Fagus japonica Maxim.",9719,"BU","Mie"
"Viburnum urceolatum Sieb. et Zucc.",5213,"GN","Mie"
"Nandina domestica Thunb.",10558,"GN","Mie"
"Nandina domestica Thunb.",10558,"GN","Nara"
"Plantago asiatica L.",5144,"GN","Mie"
"Hydrangea petiolaris Siebold et Zucc.",11203,"GN","Mie"
"Fagus crenata Blume",9718,"BU","Mie"
"Pinus densiflora Sieb. et Zucc.",3986,"GN","Mie"
"Actinidia polygama (Siebold et Zucc.) Planch. ex Maxim.",10711,"GN","Mie"
"Miricacalia palmata (Thunb.) Maxim.",4132,"GN","Mie"
"Saxifraga fortunei Hook. f. var. alpina (Matsum. et Nakai) Nakai",11092,"GN","Mie"
"Viburnum phlebotrichum Sieb. et Zucc.",5215,"BU","Mie"
"Eleutherococcus innovans (Sieb. et Zucc.) H. Ohba",5745,"GN","Mie"
"Hedera rhombea (Miq.) Bean",5740,"GN","Mie"
"Quercus glauca Thunb.",9738,"GN","Mie"
"Hydrangea sikokiana Maxim.",11204,"BU","Mie"
"Agrimonia pilosa Ledeb.",11492,"GN","Mie"
"Pteridium aquilinum (L.) Kuhn",3400,"GN","Mie"
"Quercus gilva Blume",9737,"GN","Mie"
"Quercus gilva Blume",9737,"GN","Nara"
"Swida controversa (Hemsl. ex Prain) Soj{a'}rk",5732,"GN","Mie"
"Zanthoxylum piperitum (L.) DC.",5338,"GN","Mie"
"Rubus phoenicolasius Maxim.",11434,"GN","Mie"
"Caesalpinia decapetala (Roth) Alston",11581,"GN","Mie"
"Akebia trifoliata (Thunb.) Koidz.",10580,"GN","Mie"
"Elliottia paniculata (Sieb. et Zucc.) Benth. et Hook. f.",4411,"GN","Mie"
"Elliottia paniculata (Sieb. et Zucc.) Benth. et Hook. f.",4411,"GN","Nara"
"Helicia cochinchinensis Lour.",9885,"GN","Mie"
"Helicia cochinchinensis Lour.",9885,"GN","Nara"
"Quercus myrsinifolia Blume",9741,"GN","Mie"
"Vaccinium japonicum Miq.",4498,"GN","Mie"
"Rhododendron japonicum (A. Gray) Suringar",4465,"BU","Mie"
"Magnolia salicifolia (Siebold et Zucc.) Maxim.",10250,"BU","Mie"
"Sciadopitys verticillata (Thunb.) Sieb. et Zucc.",3966,"GD","Mie"
"Quercus crispula Blume",9724,"GN","Mie"
"Ilex macropoda Miq.",5429,"GN","Mie"
"Vitis ficifolia Bunge var. lobata Regel",675,"GN","Mie"
"Elaeocarpus japonicus Sieb. et Zucc.",5494,"GN","Mie"
"Rubus peltatus Maxim.",11411,"GN","Mie"
"Rubus peltatus Maxim.",11411,"GN","Nara"
"Stephanandra incisa (Thunb.) Siebold et Zucc. ex Zabel var. incisa",11254,"GN","Mie"
"Macleaya cordata (Willd.) R. Br.",10805,"GN","Mie"
"Sarcandra glabra (Thunb.) Nakai subsp. glabra",10623,"GN","Mie"
"Lysimachia mauritiana Lam.",4550,"GN","Mie"
"Rumex japonicus Houtt.",9910,"GN","Mie"
"Semiaquilegia adoxoides (DC.) Makino",10507,"GN","Mie"
"Indigofera pseudotinctoria Matsum.",11687,"GN","Mie"
"Lathyrus japonicus Willd.",11632,"GN","Mie"
"Ficus erecta Thunb.",9780,"GN","Mie"
"Piper kadsura (Choisy) Ohwi",10617,"GN","Mie"
"Dendranthema japonicum (Makino) Kitam.",4242,"BU","Mie"
"Sphenomeris chinensis (L.) Maxon",3405,"GN","Mie"
"Youngia japonica (L.) DC.",4062,"GN","Mie"
"Amelanchier asiatica (Siebold et Zucc.) Endl. ex Walp.",11311,"GN","Mie"
"Pennisetum alopecuroides (L.) Spreng.",29565,"GN","Mie"
"Myrica rubra Siebold et Zucc.",9574,"GN","Mie"
"Arundo donax L.",29395,"GN","Mie"
"Polygala japonica Houtt.",5362,"GN","Mie"
"Oenanthe javanica (Blume) DC.",3235,"GN","Mie"
"Cynanchum caudatum (Miq.) Maxim.",4720,"GN","Mie"
"Glochidion obovatum Sieb. et Zucc.",5286,"GN","Mie"
"Imperata cylindrica (L.) Raeusch.",29511,"GN","Mie"
"Vitex rotundifolia L. f.",4896,"GN","Mie"
"Crepidiastrum keiskeanum (Maxim.) Nakai",4034,"BU","Mie"
"Ajuga decumbens Thunb.",4925,"GN","Mie"
"Centella asiatica (L.) Urb.",5759,"GN","Mie"
"Farfugium japonicum (L.) Kitam.",4106,"GN","Mie"
"Patrinia scabiosifolia Fisch. ex Trevir.",5256,"GN","Mie"
"Viburnum sieboldii Miq.",5210,"BU","Mie"
"Hibiscus hamabo Sieb. et Zucc.",5515,"BU","Mie"
"Quercus variabilis Biume",9722,"GN","Mie"
"Pittosporum tobira (Thunb.) W.T.Aiton",11238,"GN","Mie"
"Symplocos glauca (Thunb.) Koidz.",4609,"GN","Mie"
"Quercus acutissima Carruth.",9721,"GN","Mie"
"Podocarpus macrophyllus (Thunb.) D. Don",4000,"GN","Mie"
"Ardisia crenata Sims",4533,"GN","Mie"
"Lophatherum gracile Brongn.",29531,"GN","Mie"
"Rubus sieboldii Blume",11407,"BU","Mie"
"Cnidium japonicum Miq.",5782,"GN","Mie"
"Calystegia soldanella (L.) Roem. et Schult.",4764,"GN","Mie"
"Juglans mandshurica Maxim. var. sachalinensis (Miyabe et Kud{o^}) Kitam.",9579,"GN","Mie"
"Alnus japonica (Thunb.) Steud.",9676,"GN","Mie"
"Aria alnifolia (Siebold et Zucc.) Decne.",11297,"GN","Mie"
"Stellaria aquatica (L.) Scop.",10117,"GN","Mie"
"Gardenia jasminoides Ellis",4791,"GN","Mie"
"Distylium racemosum Siebold et Zucc.",10980,"GN","Mie"
"Thalictrum minus L. var. hypoleucum (Siebold et Zucc.) Miq.",10543,"GN","Mie"
"Cyrtomium falcatum (L. f.) C. Presl",3553,"GN","Mie"
"Damnacanthus indicus Gaertn. f.",4823,"GN","Mie"
"Elaeagnus macrophylla Thunb.",5555,"GN","Mie"
"Eurya emarginata (Thunb.) Makino",10736,"GN","Mie"
"Angelica japonica A. GrayA. Gray",3247,"GN","Mie"
"Nephrolepis cordifolia (L.) C. Presl",3424,"GN","Mie"
"Cladium mariscus subsp. mariscus",21441,"GN","Mie"
"Dryopteris erythrosora (D. C. Eaton) Kuntze",3684,"GN","Mie"
"Symplocos theophrastifolia Sieb. et Zucc.",4606,"GN","Mie"
"Daphne kiusiana Miq.",5539,"GN","Mie"
"Glehnia littoralis F. Schmidt",5783,"GN","Mie"
"Korthalsella japonica (Thunb.Engl.)",9895,"GN","Mie"
"Canavalia lineata (Thunb.) DC.",11791,"GN","Mie"
"Sanguisorba officinalis L.",11499,"GN","Mie"
"Ixeris repens (L.) A. Gray",4036,"GN","Mie"
"Chelidonium majus L. subsp. asiaticum H. Hara",10801,"GN","Mie"
"Gardneria nutans Sieb. et Zucc.",4650,"BU","Mie"
"Michelia compressa (Maxim.) Sarg.",10254,"GN","Mie"
"Fatsia japonica (Thunb.) Decne. et Planch.",3228,"GN","Mie"
"Elaeocarpus sylvestris (Lour.) Poir.",5493,"GN","Mie"
"Viburnum odoratissimum Ker-Gawl. var. awabuki K. Koch",575,"GN","Mie"
"Wedelia prostrata Hemsl.",3146,"GN","Mie"
"Haloragis micrantha (Thunb.) R. Br. ex Sieb. et Zucc.",5723,"GN","Izu"
