scode,sampname,lat,ns,long,ew,rectotal,spcount,GHI,BK,GD,BU,GN,horim_end,sum_WE,CWE,ocean,mainisl,smallisl,totalland,totalarea
532,horim532,37.25,n,136.875,e,148,148,22,0,0,11,136,15,0.331347,0.002238831,39.87392117,370.279544,0.015391588,370.2949355,410.1688567
533,horim533,37.25,n,137.125,e,128,128,11,0,0,5,122,9,0.250043,0.001953461,230.9987468,179.159859,0.010250849,179.1701099,410.1688567
534,horim534,37.25,n,137.375,e,0,0,0,0,0,0,0,0,0,0,407.2902072,2.878649488,0,2.878649488,410.1688567
535,horim535,37.25,n,138.125,e,11,11,0,0,0,0,11,0,0.019581,0.001780091,407.7796912,2.384034051,0.005131485,2.389165536,410.1688567
536,horim536,37.25,n,138.375,e,102,102,11,0,0,4,97,8,0.213094,0.002089157,167.8182537,242.1966777,0.153925332,242.350603,410.1688567
537,horim537,37.25,n,138.625,e,15,15,20,0,0,1,14,3,0.021593,0.001439533,0,410.1688567,0,410.1688567,410.1688567
538,horim538,37.25,n,138.875,e,100,100,24,0,0,8,90,14,0.192751,0.00192751,0,410.1688567,0,410.1688567,410.1688567
539,horim539,37.25,n,139.125,e,115,115,68,0,3,16,91,29,0.347514,0.003021861,0,410.1688567,0,410.1688567,410.1688567
540,horim540,37.25,n,139.375,e,41,41,92,0,2,6,31,11,0.130314,0.00317839,0,410.1688567,0,410.1688567,410.1688567
541,horim541,37.25,n,139.625,e,134,134,45,0,1,17,115,26,0.384355,0.002868321,0,410.1688567,0,410.1688567,410.1688567
542,horim542,37.25,n,139.875,e,179,179,53,0,2,26,150,39,0.574736,0.003210816,0,410.1688567,0,410.1688567,410.1688567
543,horim543,37.25,n,140.125,e,166,166,52,0,3,20,143,32,0.461291,0.002778861,0,410.1688567,0,410.1688567,410.1688567
544,horim544,37.25,n,140.375,e,104,104,26,0,0,9,94,9,0.206923,0.001989644,0,410.1688567,0,410.1688567,410.1688567
545,horim545,37.25,n,140.625,e,29,29,51,0,0,5,24,6,0.050139,0.001728931,0,410.1688567,0,410.1688567,410.1688567
546,horim546,37.25,n,140.875,e,154,154,46,0,2,17,131,25,0.375208,0.002436416,0,410.1688567,0,410.1688567,410.1688567
547,horim547,37.25,n,141.125,e,46,46,32,0,0,5,41,6,0.102685,0.002232283,380.2252174,29.83089092,0.112748362,29.94363928,410.1688567
548,horim548,37.083333,n,136.625,e,114,114,5,0,0,2,111,5,0.232108,0.002036035,368.5118771,42.53683701,0.010279073,42.54711608,411.0589932
549,horim549,37.083333,n,136.875,e,87,87,13,0,0,4,82,7,0.164796,0.001894207,88.65929109,292.7317399,29.66796221,322.3997021,411.0589932
550,horim550,37.083333,n,137.125,e,58,58,5,0,0,1,57,2,0.099707,0.001719086,347.7401171,46.20150095,17.11737516,63.31887612,411.0589932
551,horim551,37.083333,n,137.625,e,0,0,0,0,0,0,0,0,0,0,410.3517477,0.707245577,0,0.707245577,411.0589932
552,horim552,37.083333,n,137.875,e,106,106,17,0,0,6,99,10,0.222255,0.002096745,286.9891905,124.0441022,0.025700491,124.0698027,411.0589932
553,horim553,37.083333,n,138.125,e,144,144,31,0,1,12,128,19,0.353343,0.002453771,39.23473523,371.8191223,0.005135698,371.824258,411.0589932
554,horim554,37.083333,n,138.375,e,67,67,9,0,0,2,64,6,0.136284,0.00203409,0,411.0589932,0,411.0589932,411.0589932
555,horim555,37.083333,n,138.625,e,95,95,38,0,0,12,81,20,0.265293,0.002792558,0,411.0589932,0,411.0589932,411.0589932
556,horim556,37.083333,n,138.875,e,45,45,13,0,0,2,42,5,0.070017,0.001555933,0,411.0589932,0,411.0589932,411.0589932
557,horim557,37.083333,n,139.125,e,94,94,96,0,3,20,67,31,0.514276,0.005471021,0,411.0589932,0,411.0589932,411.0589932
558,horim558,37.083333,n,139.375,e,123,123,71,0,2,23,96,35,0.484984,0.003942959,0,411.0589932,0,411.0589932,411.0589932
559,horim559,37.083333,n,139.625,e,166,166,61,0,3,25,137,37,0.46475,0.002799699,0,411.0589932,0,411.0589932,411.0589932
560,horim560,37.083333,n,139.875,e,233,233,75,0,6,40,185,58,0.963305,0.004134356,0,411.0589932,0,411.0589932,411.0589932
561,horim561,37.083333,n,140.125,e,207,207,48,0,2,27,175,38,0.602351,0.002909908,0,411.0589932,0,411.0589932,411.0589932
562,horim562,37.083333,n,140.375,e,176,176,46,0,1,24,151,31,1.437449,0.008167324,0,411.0589932,0,411.0589932,411.0589932
563,horim563,37.083333,n,140.625,e,145,145,37,0,0,18,127,25,0.332182,0.00229091,0,411.0589932,0,411.0589932,411.0589932
564,horim564,37.083333,n,140.875,e,178,178,43,0,3,17,158,25,0.482248,0.002709258,19.09024957,391.9687437,0,391.9687437,411.0589932
565,horim565,37.083333,n,141.125,e,0,0,0,0,0,0,0,0,0,0,408.9616101,2.089679983,0.007703171,2.097383153,411.0589932
566,horim566,36.916667,n,136.875,e,184,184,24,0,0,15,167,19,0.459759,0.00249869,27.64935902,384.2885296,0.00772151,384.2962511,411.9456101
567,horim567,36.916667,n,137.125,e,102,102,2,0,0,1,100,3,0.211843,0.002076892,367.878595,44.06186576,0.005149308,44.06701507,411.9456101
568,horim568,36.916667,n,137.375,e,123,123,29,0,1,9,113,16,0.25736,0.002092358,328.5969019,83.33324688,0.015461311,83.34870819,411.9456101
569,horim569,36.916667,n,137.625,e,130,130,25,0,0,11,119,18,0.29323,0.002255615,60.50149596,351.4415413,0.002572883,351.4441142,411.9456101
570,horim570,36.916667,n,137.875,e,195,195,70,0,4,33,154,45,0.931637,0.004777626,0,411.9456101,0,411.9456101,411.9456101
571,horim571,36.916667,n,138.125,e,150,150,58,0,1,25,117,32,0.711739,0.004744927,0,411.9456101,0,411.9456101,411.9456101
572,horim572,36.916667,n,138.375,e,156,156,36,0,0,19,136,26,0.435811,0.00279366,0,411.9456101,0,411.9456101,411.9456101
573,horim573,36.916667,n,138.625,e,164,164,77,0,5,26,128,40,0.771414,0.004703744,0,411.9456101,0,411.9456101,411.9456101
574,horim574,36.916667,n,138.875,e,153,153,81,1,4,20,126,33,0.852932,0.005574719,0,411.9456101,0,411.9456101,411.9456101
575,horim575,36.916667,n,139.125,e,197,197,86,1,5,31,153,47,1.361095,0.006909112,0,411.9456101,0,411.9456101,411.9456101
576,horim576,36.916667,n,139.375,e,193,193,72,0,4,33,148,48,1.106027,0.00573071,0,411.9456101,0,411.9456101,411.9456101
577,horim577,36.916667,n,139.625,e,187,187,67,0,3,33,151,47,0.684247,0.003659075,0,411.9456101,0,411.9456101,411.9456101
578,horim578,36.916667,n,139.875,e,184,184,62,0,4,26,153,40,0.565831,0.003075169,0,411.9456101,0,411.9456101,411.9456101
579,horim579,36.916667,n,140.125,e,161,161,33,0,1,15,145,20,0.39807,0.002472485,0,411.9456101,0,411.9456101,411.9456101
580,horim580,36.916667,n,140.375,e,202,202,45,0,2,24,173,35,0.540408,0.002675287,0,411.9456101,0,411.9456101,411.9456101
581,horim581,36.916667,n,140.625,e,213,213,46,0,2,27,183,37,0.565921,0.002656906,0,411.9456101,0,411.9456101,411.9456101
582,horim582,36.916667,n,140.875,e,156,156,38,0,2,14,139,17,0.382969,0.00245493,207.661637,204.2736783,0.01029484,204.2839731,411.9456101
583,horim583,36.75,n,136.625,e,81,81,11,0,0,3,77,5,0.136459,0.001684679,336.6448867,76.1838141,0,76.1838141,412.8287008
584,horim584,36.75,n,136.875,e,161,161,39,0,1,18,140,25,0.385808,0.002396323,0.00257743,412.8261234,0,412.8261234,412.8287008
585,horim585,36.75,n,137.125,e,144,144,25,0,0,12,132,16,0.300036,0.002083583,132.61549,280.1667851,0.04642575,280.2132108,412.8287008
586,horim586,36.75,n,137.375,e,114,114,15,0,0,6,107,11,0.214369,0.00188043,93.90825792,318.9178649,0.002577941,318.9204429,412.8287008
587,horim587,36.75,n,137.625,e,182,182,85,0,7,29,139,43,1.125728,0.006185319,0,412.8287008,0,412.8287008,412.8287008
588,horim588,36.75,n,137.875,e,221,221,95,1,8,35,169,53,1.516466,0.006861837,0,412.8287008,0,412.8287008,412.8287008
589,horim589,36.75,n,138.125,e,190,190,58,0,3,27,156,39,0.882138,0.004642832,0,412.8287008,0,412.8287008,412.8287008
