tag,del,spnumber,taxstat,synof,family,species,genus,sp1,homonym,author1,rank1,sp2,author2,rank2,sp3,author3,star,tdwgtotals,origin,star_geo,star_geod,star_geou,star_infa,star_infs,horim_page,horim_uniq,kewstar,xtdwgtotal,tdwgareas
*, ,3229,acc,0,Araliaceae,Eleutherococcus spinosus (L. f.) S. Y. Hu,Eleutherococcus,spinosus,0,(L. f.) S. Y. Hu,,,,,,,BU,1,Flora of Japan Vol. IIc,BU,BU,BU,BU,BU,0,,BU,1,37.894518
*, ,3230,acc,0,Araliaceae,Kalopanax septemlobus (Thunb.) Koidz.,Kalopanax,septemlobus,0,(Thunb.) Koidz.,,,,,,,GN,10,Flora of Japan Vol. IIc,GN,GN,GN,GN,GN,0,,GN,10,547.064322
*, ,3964,acc,0,Cycadaceae,Cycas revoluta Thunb.,Cycas,revoluta,0,Thunb.,,,,,,,BK,2,Flora of Japan Vol. I,BK,BK,BK,BK,BK,1,*,BK,2,38.084234
*, ,3965,acc,0,Cryptomeriaceae,Cryptomeria japonica (L. f.) D. Don,Cryptomeria,japonica,0,(L. f.) D. Don,,,,,,,BU,1,Flora of Japan Vol. I,BU,BU,BU,BU,BU,0,,BU,8,37.894518
*, ,3966,acc,0,Sciadopityaceae,Sciadopitys verticillata (Thunb.) Sieb. et Zucc.,Sciadopitys,verticillata,0,(Thunb.) Sieb. et Zucc.,,,,,,,GD,1,Flora of Japan Vol. I,GD,GD,GD,GD,GD,22,*,BU,1,37.894518
*, ,3967,acc,0,Pinaceae,Abies homolepis Sieb. et Zucc.,Abies,homolepis,0,Sieb. et Zucc.,,,,,,,BU,1,Flora of Japan Vol. I,BU,BU,BU,BU,BU,6,*,BU,1,37.894518
*, ,3968,acc,0,Pinaceae,Abies firma Sieb. et Zucc.,Abies,firma,0,Sieb. et Zucc.,,,,,,,BU,1,Flora of Japan Vol. I,BU,BU,BU,BU,BU,5,*,BU,1,37.894518
*, ,3969,acc,0,Pinaceae,Abies sachalinensis (F. Schmidt) Mast.,Abies,sachalinensis,0,(F. Schmidt) Mast.,,,,,,,GN,3,Flora of Japan Vol. I,GN,GN,GN,GN,GN,502,*,BU,3,48.688044
*, ,3970,acc,0,Pinaceae,Abies mariesii Mast.,Abies,mariesii,0,Mast.,,,,,,,BU,1,Flora of Japan Vol. I,BU,BU,BU,BU,BU,7,*,BU,1,37.894518
*, ,3972,acc,0,Pinaceae,Tsuga sieboldii Carri{e`}re,Tsuga,sieboldii,0,Carri{e`}re,,,,,,,GN,1,Flora of Japan Vol. I,GN,GN,GN,GN,GN,21,*,BU,1,37.894518
*, ,3973,acc,0,Pinaceae,Tsuga diversifolia (Maxim.) Mast.,Tsuga,diversifolia,0,(Maxim.) Mast.,,,,,,,BU,1,Flora of Japan Vol. I,BU,BU,BU,BU,BU,505,*,BU,1,37.894518
*, ,3974,acc,0,Pinaceae,Pseudotsuga japonica (Shiras.) Beissn.,Pseudotsuga,japonica,0,(Shiras.) Beissn.,,,,,,,BK,1,Flora of Japan Vol. I,BK,BK,BK,BK,BK,20,*,BU,1,37.894518
*, ,3975,acc,0,Pinaceae,Larix kaempferi (Lamb.) Carri{e`}re,Larix,kaempferi,0,(Lamb.) Carri{e`}re,,,,,,,GD,1,Flora of Japan Vol. I,GD,GD,GD,GD,GD,9,*,GD,16,37.894518
*, ,3976,acc,0,Pinaceae,Picea glehnii (F. Schmidt) Mast.,Picea,glehnii,0,(F. Schmidt) Mast.,,,,,,,BU,2,Flora of Japan Vol. I,BU,BU,BU,BU,BU,12,*,BU,2,47.427957
*, ,3978,acc,0,Pinaceae,Picea maximowiczii Regel ex Carri{e`}re,Picea,maximowiczii,0,Regel ex Carri{e`}re,,,,,,,BK,1,Flora of Japan Vol. I,BK,BK,BK,BK,BK,0,,BK,1,37.894518
*, ,3980,acc,0,Pinaceae,Picea koyamae Shiras.,Picea,koyamae,0,Shiras.,,,,,,,BK,1,Flora of Japan Vol. I,BK,BK,BK,BK,BK,503,*,BK,1,37.894518
*, ,3981,acc,0,Pinaceae,Picea alcoquiana (Veitch ex Lindl.) Carri{e`}re,Picea,alcoquiana,0,(Veitch ex Lindl.) Carri{e`}re,,,,,,,GD,1,Flora of Japan Vol. I,GD,GD,GD,GD,GD,10,*,GD,1,37.894518
*, ,3982,acc,0,Pinaceae,Pinus parviflora Sieb. et Zucc.,Pinus,parviflora,0,Sieb. et Zucc.,,,,,,,GN,1,Flora of Japan Vol. I,GN,GN,GN,GN,GN,0,,BU,1,37.894518
*, ,3983,acc,0,Pinaceae,Pinus pumila (Pall.) Regel,Pinus,pumila,0,(Pall.) Regel,,,,,,,GN,16,Flora of Japan Vol. I,GN,GN,GN,GN,GN,19,*,GN,16,1795.443913
*, ,3984,acc,0,Pinaceae,Pinus koraiensis Sieb. et Zucc.,Pinus,koraiensis,0,Sieb. et Zucc.,,,,,,,GN,6,Flora of Japan Vol. I,GN,GN,GN,GN,GN,17,*,GN,6,334.610395
*, ,3985,acc,0,Pinaceae,Pinus amamiana Koidz.,Pinus,amamiana,0,Koidz.,,,,,,,BK,1,Flora of Japan Vol. I,BK,BK,BK,BK,BK,0,,BK,1,37.894518
*, ,3986,acc,0,Pinaceae,Pinus densiflora Sieb. et Zucc.,Pinus,densiflora,0,Sieb. et Zucc.,,,,,,,GN,5,Flora of Japan Vol. I,GN,GN,GN,GN,GN,504,*,GN,5,284.209551
*, ,3987,acc,0,Pinaceae,Pinus thunbergii Parl.,Pinus,thunbergii,0,Parl.,,,,,,,GN,2,Flora of Japan Vol. I,GN,GN,GN,GN,GN,0,,GN,2,60.6627
*, ,3989,acc,0,Pinaceae,Pinus hakkodensis Makino,Pinus,hakkodensis,0,Makino,,,,,,,hyb,1,Flora of Japan Vol. I,hyb,hyb,hyb,hyb,hyb,0,,BU,1,37.894518
*, ,3990,acc,0,Cupressaceae,Thujopsis dolabrata (L. f.) Sieb. et Zucc.,Thujopsis,dolabrata,0,(L. f.) Sieb. et Zucc.,,,,,,,GD,1,Flora of Japan Vol. I,GD,GD,GD,GD,GD,25,*,GD,1,37.894518
*, ,3991,acc,0,Cupressaceae,Thuja standishii (Gordon) Carri{e`}re,Thuja,standishii,0,(Gordon) Carri{e`}re,,,,,,,BU,1,Flora of Japan Vol. I,BU,BU,BU,BU,BU,24,*,BU,1,37.894518
*, ,3992,acc,0,Cupressaceae,Chamaecyparis obtusa (Sieb. et Zucc.) Endl.,Chamaecyparis,obtusa,0,(Sieb. et Zucc.) Endl.,,,,,,,BU,1,Flora of Japan Vol. I,BU,BU,BU,BU,BU,23,*,BU,1,37.894518
